doc_id,token,label
5,Manufacturing,I-Vendor
5,Invoice,O
5,Number,O
5,:,O
5,INV-,O
5,37900,O
5,Date,O
5,Issued,O
5,:,O
5,09/08/2025,B-Date
5,Bill,O
5,To,O
5,:,O
5,Customer,O
5,Account,O
5,#,O
5,9288,O
5,Subtotal,O
5,:,O
5,"$4,049.59",O
5,+,O
5,1,O
5,(,O
5,871,O
5,),O
5,674,O
5,-,O
5,2011,O
5,Tax,O
5,Rate,O
5,(,O
5,8.5%,O
5,),O
5,:,O
5,$344.22,B-Tax
5,Serving,O
5,clients,O
5,since,O
5,1998,O
5,Net,O
5,Total,O
5,:,O
5,"$4,393.81",B-Total
5,Thank,O
5,you,O
5,for,O
5,your,O
5,business.,O
6,Sold,O
6,By,O
6,:,O
6,Cedar,B-Vendor
6,Supply,I-Vendor
6,Invoice,O
6,Number,O
6,:,O
6,INV-,O
6,76715,O
6,+,O
6,1,O
6,(,O
6,653,O
6,),O
6,394,O
6,-,O
6,1350,O
6,Order,O
6,Date,O
6,:,O
6,11/04/2026,B-Date
6,Bill,O
6,To,O
6,:,O
6,Customer,O
6,Account,O
6,#,O
6,8346,O
6,Subtotal,O
6,:,O
6,"$4,575.44",O
6,Tax,O
6,Rate,O
6,(,O
6,8.5%,O
6,),O
6,:,O
6,$388.91,B-Tax
6,7095,O
6,Oak,O
6,Court,O
6,",",O
6,Fairhaven,O
6,",",O
6,MA,O
6,97460,O
6,Grand,O
6,Total,O
6,:,O
6,"$4,964.35",B-Total
6,Payment,O
6,is,O
6,due,O
6,within,O
6,30,O
6,days.,O
6,Thank,O
6,you,O
6,for,O
6,your,O
6,business.,O
7,From,O
7,:,O
7,Frost,B-Vendor
7,Architects,I-Vendor
7,Invoice,O
7,Number,O
7,:,O
7,INV-,O
7,85771,O
7,This,O
7,document,O
7,is,O
7,a,O
7,computer-generated,O
7,record,O
7,and,O
7,requires,O
7,no,O
7,signature.,O
7,Date,O
7,:,O
7,11/26/2023,B-Date
7,Subtotal,O
7,:,O
7,$348.48,O
7,3119,O
7,Cedar,O
7,Road,O
7,",",O
7,Riverside,O
7,",",O
7,CA,O
7,77563,O
7,GST,O
7,(,O
7,8.0%,O
7,),O
7,:,O
7,$27.88,B-Tax
7,Net,O
7,Total,O
7,:,O
7,$376.36,B-Total
8,Remit,O
8,To,O
8,:,O
8,Millbrook,B-Vendor
8,Industries,I-Vendor
8,LLC,I-Vendor
8,Serving,O
8,clients,O
8,since,O
8,1998,O
8,1423,O
8,Magnolia,O
8,Road,O
8,",",O
8,Millbrook,O
8,",",O
8,NY,O
8,43916,O
8,Invoice,O
8,Number,O
8,:,O
8,INV-,O
8,44138,O
8,Order,O
8,Date,O
8,:,O
8,03/06/2025,B-Date
8,Subtotal,O
8,:,O
8,"$4,729.54",O
8,Sales,O
8,Tax,O
8,(,O
8,8.0%,O
8,),O
8,:,O
8,$378.36,B-Tax
8,info,O
8,@,O
8,millbrookindustr.net,O
8,Grand,O
8,Total,O
8,:,O
8,"$5,107.91",B-Total
8,This,O
8,invoice,O
8,was,O
8,generated,O
8,automatically.,O
8,This,O
8,document,O
8,is,O
8,a,O
8,computer-generated,O
8,record,O
8,and,O
8,requires,O
8,no,O
8,signature.,O
9,Sold,O
9,By,O
9,:,O
9,Ostrowski,B-Vendor
9,&,I-Vendor
9,Lin,I-Vendor
9,Vineyards,I-Vendor
9,Serving,O
9,clients,O
9,since,O
9,1998,O
9,Invoice,O
9,Number,O
9,:,O
9,INV-,O
9,53681,O
9,Bill,O
9,Date,O
9,:,O
9,09/09/2023,B-Date
9,Subtotal,O
9,:,O
9,"$1,601.41",O
9,+,O
9,1,O
9,(,O
9,859,O
9,),O
9,879,O
9,-,O
9,7067,O
9,Sales,O
9,Tax,O
9,(,O
9,9.0%,O
9,),O
9,:,O
9,$144.13,B-Tax
9,Amount,O
9,Due,O
9,:,O
9,"$1,745.54",B-Total
9,info,O
9,@,O
9,ostrowskilinvine.com,O
9,We,O
9,appreciate,O
9,your,O
9,prompt,O
9,payment.,O
10,Supplier,O
10,:,O
10,Whitfield,B-Vendor
10,Vineyards,I-Vendor
10,Invoice,O
10,Number,O
10,:,O
10,INV-,O
10,45551,O
10,Date,O
10,:,O
10,12/25/2025,B-Date
10,Subtotal,O
10,:,O
10,"$3,907.87",O
10,VAT,O
10,(,O
10,9.0%,O
10,),O
10,:,O
10,$351.71,B-Tax
10,Net,O
10,Total,O
10,:,O
10,"$4,259.58",B-Total
10,Thank,O
10,you,O
10,for,O
10,your,O
10,business.,O
10,Disputes,O
10,must,O
10,be,O
10,raised,O
10,within,O
10,30,O
10,days,O
10,of,O
10,receipt.,O
11,Issued,O
11,By,O
11,:,O
11,Zhukov,B-Vendor
11,&,I-Vendor
11,Okoye,I-Vendor
11,Solutions,I-Vendor
11,Invoice,O
11,Number,O
11,:,O
11,INV-,O
11,98907,O
11,www.zhukovokoyesolut.com,O
11,Date,O
11,:,O
11,12/08/2024,B-Date
11,Bill,O
11,To,O
11,:,O
11,Customer,O
11,Account,O
11,#,O
11,2591,O
11,Subtotal,O
11,:,O
11,$549.87,O
11,1986,O
11,Hillcrest,O
11,Avenue,O
11,",",O
11,Highland,O
11,Park,O
11,",",O
11,NJ,O
11,79219,O
11,Tax,O
11,Rate,O
11,(,O
11,5.0%,O
11,),O
11,:,O
11,$27.49,B-Tax
11,Invoice,O
11,Total,O
11,:,O
11,$577.36,B-Total
12,Sold,O
12,By,O
12,:,O
12,Evergreen,B-Vendor
12,Foods,I-Vendor
12,&,I-Vendor
12,Sons,I-Vendor
12,7079,O
12,Juniper,O
12,Drive,O
12,",",O
12,Millbrook,O
12,",",O
12,NY,O
12,99537,O
12,Invoice,O
12,Number,O
12,:,O
12,INV-,O
12,64650,O
12,Issued,O
12,:,O
12,11/04/2023,B-Date
12,www.evergreenfoodsso.com,O
12,A,O
12,late,O
12,fee,O
12,of,O
12,1.5%,O
12,per,O
12,month,O
12,applies,O
12,to,O
12,overdue,O
12,balances.,O
12,Bill,O
12,To,O
12,:,O
12,Customer,O
12,Account,O
12,#,O
12,2482,O
12,Subtotal,O
12,:,O
12,$963.89,O
12,GST,O
12,(,O
12,8.0%,O
12,),O
12,:,O
12,$77.11,B-Tax
12,Invoice,O
12,Total,O
12,:,O
12,"$1,041.00",B-Total
12,Thank,O
12,you,O
12,for,O
12,your,O
12,business.,O
13,www.hollowfreightpar.com,O
13,Remit,O
13,To,O
13,:,O
13,Hollow,B-Vendor
13,Freight,I-Vendor
13,Partners,I-Vendor
13,+,O
13,1,O
13,(,O
13,804,O
13,),O
13,825,O
13,-,O
13,2492,O
13,Date,O
13,Issued,O
13,:,O
13,2025-07-08,B-Date
13,GST,O
13,(,O
13,9.0%,O
13,),O
13,:,O
13,$214.09,B-Tax
13,Net,O
13,Total,O
13,:,O
13,"$2,592.90",B-Total
13,We,O
13,appreciate,O
13,your,O
13,prompt,O
13,payment.,O
14,Issued,O
14,By,O
14,:,O
14,Vermillion,B-Vendor
14,Landscaping,I-Vendor
14,This,O
14,document,O
14,is,O
14,a,O
14,computer-generated,O
14,record,O
14,and,O
14,requires,O
14,no,O
14,signature.,O
14,Invoice,O
14,Number,O
14,:,O
14,INV-,O
14,31205,O
14,Order,O
14,Date,O
14,:,O
14,03/14/2025,B-Date
14,Bill,O
14,To,O
14,:,O
14,Customer,O
14,Account,O
14,#,O
14,5084,O
14,+,O
14,1,O
14,(,O
14,965,O
14,),O
14,810,O
14,-,O
14,5217,O
14,Subtotal,O
14,:,O
14,"$2,133.93",O
14,GST,O
14,(,O
14,5.0%,O
14,),O
14,:,O
14,$106.70,B-Tax
14,Balance,O
14,Due,O
14,:,O
14,"$2,240.63",B-Total
14,We,O
14,appreciate,O
14,your,O
14,prompt,O
14,payment.,O
15,Vendor,O
15,:,O
15,Summit,B-Vendor
15,Packaging,I-Vendor
15,Issued,O
15,:,O
15,2023-01-07,B-Date
15,Bill,O
15,To,O
15,:,O
15,Customer,O
15,Account,O
15,#,O
15,9398,O
15,GST,O
15,(,O
15,8.0%,O
15,),O
15,:,O
15,$352.45,B-Tax
15,Total,O
15,:,O
15,"$4,758.03",B-Total
15,476,O
15,Lakeview,O
15,Lane,O
15,",",O
15,Elmwood,O
15,",",O
15,TX,O
15,68795,O
15,Please,O
15,remit,O
15,payment,O
15,within,O
15,30,O
15,days.,O
16,Supplier,O
16,:,O
16,Meridian,B-Vendor
16,Chemicals,I-Vendor
16,International,I-Vendor
16,Invoice,O
16,Number,O
16,:,O
16,INV-,O
16,54430,O
16,Bill,O
16,Date,O
16,:,O
16,2025-09-12,B-Date
16,Bill,O
16,To,O
16,:,O
16,Customer,O
16,Account,O
16,#,O
16,7806,O
16,Subtotal,O
16,:,O
16,"$4,315.64",O
16,GST,O
16,(,O
16,7.0%,O
16,),O
16,:,O
16,$302.09,B-Tax
16,Total,O
16,Due,O
16,:,O
16,"$4,617.73",B-Total
16,Thank,O
16,you,O
16,for,O
16,your,O
16,business.,O
17,From,O
17,:,O
17,Ferris,B-Vendor
17,&,I-Vendor
17,Solheim,I-Vendor
17,Apparel,I-Vendor
17,Invoice,O
17,Date,O
17,:,O
17,2025-06-03,B-Date
17,www.ferrissolheimapp.com,O
17,+,O
17,1,O
17,(,O
17,840,O
17,),O
17,815,O
17,-,O
17,5591,O
17,Subtotal,O
17,:,O
17,"$2,159.19",O
17,Tax,O
17,Rate,O
17,(,O
17,6.0%,O
17,),O
17,:,O
17,$129.55,B-Tax
17,Amount,O
17,Due,O
17,:,O
17,"$2,288.74",B-Total
17,Questions,O
17,about,O
17,this,O
17,invoice,O
17,?,O
17,Contact,O
17,billing.,O
17,5503,O
17,Pine,O
17,Lane,O
17,",",O
17,Millbrook,O
17,",",O
17,NY,O
17,73586,O
18,Billed,O
18,By,O
18,:,O
18,Marlowe,B-Vendor
18,Pharmaceuticals,I-Vendor
18,Ltd,I-Vendor
18,+,O
18,1,O
18,(,O
18,424,O
18,),O
18,724,O
18,-,O
18,6343,O
18,Invoice,O
18,Number,O
18,:,O
18,INV-,O
18,16072,O
18,Order,O
18,Date,O
18,:,O
18,04/26/2024,B-Date
18,3281,O
18,Meadow,O
18,Drive,O
18,",",O
18,Riverside,O
18,",",O
18,CA,O
18,93085,O
18,Subtotal,O
18,:,O
18,"$1,355.93",O
18,Tax,O
18,(,O
18,7.0%,O
18,),O
18,:,O
18,$94.92,B-Tax
18,5,O
18,x,O
18,Training,O
18,Session,O
18,Total,O
18,:,O
18,"$1,450.85",B-Total
19,+,O
19,1,O
19,(,O
19,576,O
19,),O
19,852,O
19,-,O
19,7041,O
19,Remit,O
19,To,O
19,:,O
19,Lin,B-Vendor
19,&,I-Vendor
19,Voss,I-Vendor
19,Design,I-Vendor
19,Studio,I-Vendor
19,Invoice,O
19,Number,O
19,:,O
19,INV-,O
19,52690,O
19,Invoice,O
19,Date,O
19,:,O
19,01/01/2023,B-Date
19,Bill,O
19,To,O
19,:,O
19,Customer,O
19,Account,O
19,#,O
19,5123,O
19,Subtotal,O
19,:,O
19,$908.73,O
19,GST,O
19,(,O
19,6.0%,O
19,),O
19,:,O
19,$54.52,B-Tax
19,Invoice,O
19,Total,O
19,:,O
19,$963.26,B-Total
19,A,O
19,late,O
19,fee,O
19,of,O
19,1.5%,O
19,per,O
19,month,O
19,applies,O
19,to,O
19,overdue,O
19,balances.,O
19,Questions,O
19,about,O
19,this,O
19,invoice,O
19,?,O
19,Contact,O
19,billing.,O
20,Supplier,O
20,:,O
20,Castellano,B-Vendor
20,&,I-Vendor
20,Fenwick,I-Vendor
20,Stoneworks,I-Vendor
20,Invoice,O
20,Number,O
20,:,O
20,INV-,O
20,78681,O
20,2714,O
20,Maple,O
20,Drive,O
20,",",O
20,Elmwood,O
20,",",O
20,TX,O
20,33457,O
20,+,O
20,1,O
20,(,O
20,754,O
20,),O
20,678,O
20,-,O
20,4789,O
20,Bill,O
20,Date,O
20,:,O
20,09/28/2023,B-Date
20,Subtotal,O
20,:,O
20,"$4,950.07",O
20,Sales,O
20,Tax,O
20,(,O
20,7.5%,O
20,),O
20,:,O
20,$371.25,B-Tax
20,Invoice,O
20,Total,O
20,:,O
20,"$5,321.32",B-Total
20,info,O
20,@,O
20,castellanofenwic.net,O
20,Please,O
20,remit,O
20,payment,O
20,within,O
20,30,O
20,days.,O
21,3213,O
21,Fairview,O
21,Boulevard,O
21,",",O
21,Rivertown,O
21,",",O
21,OR,O
21,92291,O
21,Sold,O
21,By,O
21,:,O
21,Crestwood,B-Vendor
21,Foodservice,I-Vendor
21,Partners,I-Vendor
21,Invoice,O
21,Number,O
21,:,O
21,INV-,O
21,14363,O
21,Date,O
21,Issued,O
21,:,O
21,12/08/2023,B-Date
21,Subtotal,O
21,:,O
21,$798.15,O
21,VAT,O
21,(,O
21,5.0%,O
21,),O
21,:,O
21,$39.91,B-Tax
21,Net,O
21,Total,O
21,:,O
21,$838.06,B-Total
21,We,O
21,appreciate,O
21,your,O
21,prompt,O
21,payment.,O
22,2,O
22,x,O
22,Networking,O
22,Cable,O
22,(,O
22,10,O
22,m,O
22,),O
22,Issued,O
22,By,O
22,:,O
22,Doyle,B-Vendor
22,&,I-Vendor
22,Guzman,I-Vendor
22,Telecom,I-Vendor
22,8633,O
22,Chestnut,O
22,Street,O
22,",",O
22,Highland,O
22,Park,O
22,",",O
22,NJ,O
22,47588,O
22,info,O
22,@,O
22,doyleguzmantelec.net,O
22,Invoice,O
22,Number,O
22,:,O
22,INV-,O
22,22984,O
22,Issued,O
22,:,O
22,03/12/2025,B-Date
22,Subtotal,O
22,:,O
22,"$3,652.11",O
22,+,O
22,1,O
22,(,O
22,558,O
22,),O
22,505,O
22,-,O
22,3591,O
22,Tax,O
22,Rate,O
22,(,O
22,6.0%,O
22,),O
22,:,O
22,$219.13,B-Tax
22,Total,O
22,Payable,O
22,:,O
22,"$3,871.24",B-Total
22,We,O
22,appreciate,O
22,your,O
22,prompt,O
22,payment.,O
23,Sold,O
23,By,O
23,:,O
23,Stonebridge,B-Vendor
23,Tutoring,I-Vendor
23,Inc,I-Vendor
23,Order,O
23,Date,O
23,:,O
23,06/25/2026,B-Date
23,Bill,O
23,To,O
23,:,O
23,Customer,O
23,Account,O
23,#,O
23,8802,O
23,Subtotal,O
23,:,O
23,$426.25,O
23,7623,O
23,Meadow,O
23,Lane,O
23,",",O
23,Lakewood,O
23,",",O
23,CO,O
23,83137,O
23,info,O
23,@,O
23,stonebridgetutor.com,O
23,VAT,O
23,(,O
23,9.0%,O
23,),O
23,:,O
23,$38.36,B-Tax
23,www.stonebridgetutor.com,O
23,Amount,O
23,Due,O
23,:,O
23,$464.61,B-Total
23,Questions,O
23,about,O
23,this,O
23,invoice,O
23,?,O
23,Contact,O
23,billing.,O
24,4,O
24,x,O
24,Premium,O
24,Support,O
24,Plan,O
24,info,O
24,@,O
24,highlandventures.com,O
24,Supplier,O
24,:,O
24,Highland,B-Vendor
24,Ventures,I-Vendor
24,Invoice,O
24,Number,O
24,:,O
24,INV-,O
24,79756,O
24,Issued,O
24,:,O
24,12/18/2026,B-Date
24,Subtotal,O
24,:,O
24,"$1,070.91",O
24,GST,O
24,(,O
24,7.5%,O
24,),O
24,:,O
24,$80.32,B-Tax
24,www.highlandventures.com,O
24,Invoice,O
24,Total,O
24,:,O
24,"$1,151.22",B-Total
24,Questions,O
24,about,O
24,this,O
24,invoice,O
24,?,O
24,Contact,O
24,billing.,O
25,Remit,O
25,To,O
25,:,O
25,Cascade,B-Vendor
25,Analytics,I-Vendor
25,Prices,O
25,are,O
25,subject,O
25,to,O
25,change,O
25,without,O
25,notice.,O
25,www.cascadeanalytics.com,O
25,Issued,O
25,:,O
25,01/25/2026,B-Date
25,Bill,O
25,To,O
25,:,O
25,Customer,O
25,Account,O
25,#,O
25,4938,O
25,Subtotal,O
25,:,O
25,"$2,486.44",O
25,Sales,O
25,Tax,O
25,(,O
25,6.0%,O
25,),O
25,:,O
25,$149.19,B-Tax
25,Total,O
25,Payable,O
25,:,O
25,"$2,635.63",B-Total
25,7531,O
25,River,O
25,Road,O
25,",",O
25,Lakewood,O
25,",",O
25,CO,O
25,37983,O
25,We,O
25,appreciate,O
25,your,O
25,prompt,O
25,payment.,O
25,3,O
25,x,O
25,Equipment,O
25,Rental,O
25,(,O
25,weekly,O
25,),O
26,This,O
26,document,O
26,is,O
26,a,O
26,computer-generated,O
26,record,O
26,and,O
26,requires,O
26,no,O
26,signature.,O
26,Sold,O
26,By,O
26,:,O
26,Sable,B-Vendor
26,Insurance,I-Vendor
26,Invoice,O
26,Number,O
26,:,O
26,INV-,O
26,33025,O
26,Issued,O
26,:,O
26,2024-01-09,B-Date
26,Bill,O
26,To,O
26,:,O
26,Customer,O
26,Account,O
26,#,O
26,7794,O
26,Sales,O
26,Tax,O
26,(,O
26,7.0%,O
26,),O
26,:,O
26,$266.03,B-Tax
26,Total,O
26,Payable,O
26,:,O
26,"$4,066.41",B-Total
26,Please,O
26,remit,O
26,payment,O
26,within,O
26,30,O
26,days.,O
26,info,O
26,@,O
26,sableinsurance.net,O
27,Larkin,B-Vendor
27,&,I-Vendor
27,Okoye,I-Vendor
27,Consulting,I-Vendor
27,Invoice,O
27,Number,O
27,:,O
27,INV-,O
27,54249,O
27,Bill,O
27,Date,O
27,:,O
27,2026-05-29,B-Date
27,Subtotal,O
27,:,O
27,"$3,096.90",O
27,Sales,O
27,Tax,O
27,(,O
27,9.0%,O
27,),O
27,:,O
27,$278.72,B-Tax
27,Balance,O
27,Due,O
27,:,O
27,"$3,375.62",B-Total
27,This,O
27,invoice,O
27,was,O
27,generated,O
27,automatically.,O
28,Larkspur,B-Vendor
28,Hardware,I-Vendor
28,Holdings,I-Vendor
28,Invoice,O
28,Number,O
28,:,O
28,INV-,O
28,60804,O
28,Issued,O
28,:,O
28,2025-02-05,B-Date
28,www.larkspurhardware.com,O
28,Bill,O
28,To,O
28,:,O
28,Customer,O
28,Account,O
28,#,O
28,8220,O
28,Subtotal,O
28,:,O
28,"$3,794.57",O
28,+,O
28,1,O
28,(,O
28,448,O
28,),O
28,708,O
28,-,O
28,8045,O
28,Sales,O
28,Tax,O
28,(,O
28,5.0%,O
28,),O
28,:,O
28,$189.73,B-Tax
28,Amount,O
28,Due,O
28,:,O
28,"$3,984.29",B-Total
29,+,O
29,1,O
29,(,O
29,761,O
29,),O
29,428,O
29,-,O
29,4022,O
29,From,O
29,:,O
29,Foxglove,B-Vendor
29,Steel,I-Vendor
29,Works,I-Vendor
29,Group,I-Vendor
29,Date,O
29,:,O
29,2025-07-31,B-Date
29,2,O
29,x,O
29,Cleaning,O
29,Service,O
29,VAT,O
29,(,O
29,8.5%,O
29,),O
29,:,O
29,$92.78,B-Tax
29,Grand,O
29,Total,O
29,:,O
29,"$1,184.36",B-Total
29,This,O
29,invoice,O
29,was,O
29,generated,O
29,automatically.,O
29,info,O
29,@,O
29,foxglovesteelwor.net,O
29,Payment,O
29,is,O
29,due,O
29,within,O
29,15,O
29,days,O
29,of,O
29,the,O
29,invoice,O
29,date.,O
30,Sold,O
30,By,O
30,:,O
30,Willow,B-Vendor
30,Pharmaceuticals,I-Vendor
30,Co,I-Vendor
30,Invoice,O
30,Number,O
30,:,O
30,INV-,O
30,38624,O
30,Order,O
30,Date,O
30,:,O
30,11/06/2025,B-Date
30,Bill,O
30,To,O
30,:,O
30,Customer,O
30,Account,O
30,#,O
30,2972,O
30,Subtotal,O
30,:,O
30,$556.69,O
30,GST,O
30,(,O
30,8.5%,O
30,),O
30,:,O
30,$47.32,B-Tax
30,Net,O
30,Total,O
30,:,O
30,$604.01,B-Total
30,Thank,O
30,you,O
30,for,O
30,your,O
30,business.,O
30,info,O
30,@,O
30,willowpharmaceut.com,O
31,Sold,O
31,By,O
31,:,O
31,Summit,B-Vendor
31,Textiles,I-Vendor
31,All,O
31,sales,O
31,are,O
31,final,O
31,unless,O
31,otherwise,O
31,noted.,O
31,Invoice,O
31,Number,O
31,:,O
31,INV-,O
31,96265,O
31,Date,O
31,Issued,O
31,:,O
31,2023-02-04,B-Date
31,Bill,O
31,To,O
31,:,O
31,Customer,O
31,Account,O
31,#,O
31,6827,O
31,Tax,O
31,(,O
31,9.0%,O
31,),O
31,:,O
31,$314.64,B-Tax
31,Amount,O
31,Due,O
31,:,O
31,"$3,810.70",B-Total
31,This,O
31,invoice,O
31,was,O
31,generated,O
31,automatically.,O
32,Supplier,O
32,:,O
32,Amber,B-Vendor
32,Vintners,I-Vendor
32,&,I-Vendor
32,Sons,I-Vendor
32,Issued,O
32,:,O
32,09/02/2026,B-Date
32,5,O
32,x,O
32,Office,O
32,Chair,O
32,Bill,O
32,To,O
32,:,O
32,Customer,O
32,Account,O
32,#,O
32,4251,O
32,Subtotal,O
32,:,O
32,"$2,605.15",O
32,8938,O
32,Juniper,O
32,Court,O
32,",",O
32,Elmwood,O
32,",",O
32,TX,O
32,88646,O
32,Tax,O
32,Rate,O
32,(,O
32,5.0%,O
32,),O
32,:,O
32,$130.26,B-Tax
32,Amount,O
32,Due,O
32,:,O
32,"$2,735.41",B-Total
33,Sold,O
33,By,O
33,:,O
33,Lindqvist,B-Vendor
33,&,I-Vendor
33,Doyle,I-Vendor
33,Trading,I-Vendor
33,Invoice,O
33,Number,O
33,:,O
33,INV-,O
33,69111,O
33,Bill,O
33,Date,O
33,:,O
33,05/28/2025,B-Date
33,8609,O
33,Aspen,O
33,Road,O
33,",",O
33,Millbrook,O
33,",",O
33,NY,O
33,35857,O
33,Subtotal,O
33,:,O
33,"$1,549.60",O
33,A,O
33,late,O
33,fee,O
33,of,O
33,1.5%,O
33,per,O
33,month,O
33,applies,O
33,to,O
33,overdue,O
33,balances.,O
33,GST,O
33,(,O
33,8.0%,O
33,),O
33,:,O
33,$123.97,B-Tax
33,Grand,O
33,Total,O
33,:,O
33,"$1,673.57",B-Total
33,Questions,O
33,about,O
33,this,O
33,invoice,O
33,?,O
33,Contact,O
33,billing.,O
34,Vendor,O
34,:,O
34,Ferris,B-Vendor
34,&,I-Vendor
34,Petrov,I-Vendor
34,Systems,I-Vendor
34,590,O
34,Pine,O
34,Court,O
34,",",O
34,Lakewood,O
34,",",O
34,CO,O
34,60360,O
34,info,O
34,@,O
34,ferrispetrovsyst.com,O
34,Invoice,O
34,Number,O
34,:,O
34,INV-,O
34,25123,O
34,Order,O
34,Date,O
34,:,O
34,02/25/2026,B-Date
34,Subtotal,O
34,:,O
34,"$4,052.39",O
34,Tax,O
34,Rate,O
34,(,O
34,9.0%,O
34,),O
34,:,O
34,$364.72,B-Tax
34,+,O
34,1,O
34,(,O
34,300,O
34,),O
34,475,O
34,-,O
34,2153,O
34,Grand,O
34,Total,O
34,:,O
34,"$4,417.11",B-Total
34,Questions,O
34,about,O
34,this,O
34,invoice,O
34,?,O
34,Contact,O
34,billing.,O
34,www.ferrispetrovsyst.com,O
35,Billed,O
35,By,O
35,:,O
35,Petrov,B-Vendor
35,&,I-Vendor
35,Halvorsen,I-Vendor
35,Software,I-Vendor
35,Solutions,I-Vendor
35,Issued,O
35,:,O
35,2025-11-29,B-Date
35,Bill,O
35,To,O
35,:,O
35,Customer,O
35,Account,O
35,#,O
35,4546,O
35,This,O
35,document,O
35,is,O
35,a,O
35,computer-generated,O
35,record,O
35,and,O
35,requires,O
35,no,O
35,signature.,O
35,1034,O
35,Maple,O
35,Court,O
35,",",O
35,Lakewood,O
35,",",O
35,CO,O
35,12619,O
35,GST,O
35,(,O
35,6.0%,O
35,),O
35,:,O
35,$217.29,B-Tax
35,Net,O
35,Total,O
35,:,O
35,"$3,838.75",B-Total
35,+,O
35,1,O
35,(,O
35,761,O
35,),O
35,440,O
35,-,O
35,4756,O
35,We,O
35,appreciate,O
35,your,O
35,prompt,O
35,payment.,O
36,Sold,O
36,By,O
36,:,O
36,Ludlow,B-Vendor
36,&,I-Vendor
36,Kwan,I-Vendor
